组合码,国家,省州,市县,纬度,经度,人口数
"Murray, Georgia, US",US,Georgia,Murray,34.78897608,-84.74993177,40096
"Muscogee, Georgia, US",US,Georgia,Muscogee,32.50931999,-84.87142262,195769
"Newton, Georgia, US",US,Georgia,Newton,33.55514538,-83.8454714,111744
"Oconee, Georgia, US",US,Georgia,Oconee,33.83749973,-83.43679568,40280
"Oglethorpe, Georgia, US",US,Georgia,Oglethorpe,33.8786296,-83.08278123,15259
"Paulding, Georgia, US",US,Georgia,Paulding,33.91969522,-84.86848792,168667
"Peach, Georgia, US",US,Georgia,Peach,32.56934316,-83.82937,27546
"Pickens, Georgia, US",US,Georgia,Pickens,34.46589159,-84.46406611,32591
"Pierce, Georgia, US",US,Georgia,Pierce,31.35928155,-82.21598442,19465
"Pike, Georgia, US",US,Georgia,Pike,33.09310242,-84.38790389,18962
"Polk, Georgia, US",US,Georgia,Polk,34.00267074,-85.18677781,42613
"Pulaski, Georgia, US",US,Georgia,Pulaski,32.23334561,-83.4754996,11137
"Putnam, Georgia, US",US,Georgia,Putnam,33.32056115,-83.37552891,22119
"Quitman, Georgia, US",US,Georgia,Quitman,31.86728114,-85.01773177,2299
"Rabun, Georgia, US",US,Georgia,Rabun,34.88389445,-83.40304637,17137
"Randolph, Georgia, US",US,Georgia,Randolph,31.76622818,-84.75732369,6778
"Richmond, Georgia, US",US,Georgia,Richmond,33.35777107,-82.07026432,202518
"Rockdale, Georgia, US",US,Georgia,Rockdale,33.65145002,-84.02202167,90896
"Schley, Georgia, US",US,Georgia,Schley,32.2654021,-84.31258912,5257
"Screven, Georgia, US",US,Georgia,Screven,32.74976524,-81.60779441,13966
"Seminole, Georgia, US",US,Georgia,Seminole,30.93464824,-84.86823924,8090
"Spalding, Georgia, US",US,Georgia,Spalding,33.26310031,-84.28013991,66703
"Stephens, Georgia, US",US,Georgia,Stephens,34.55151201,-83.29405315,25925
"Stewart, Georgia, US",US,Georgia,Stewart,32.07996777,-84.83208037,6621
"Sumter, Georgia, US",US,Georgia,Sumter,32.03650571,-84.19821492,29524
"Talbot, Georgia, US",US,Georgia,Talbot,32.69642758,-84.53351366,6195
"Taliaferro, Georgia, US",US,Georgia,Taliaferro,33.56543317,-82.88136816,1537
"Tattnall, Georgia, US",US,Georgia,Tattnall,32.04785085,-82.05539188,25286
"Taylor, Georgia, US",US,Georgia,Taylor,32.55792548,-84.25077141,8020
"Telfair, Georgia, US",US,Georgia,Telfair,31.92829517,-82.93491155,15860
"Terrell, Georgia, US",US,Georgia,Terrell,31.77527543,-84.44069698,8531
"Thomas, Georgia, US",US,Georgia,Thomas,30.86392347,-83.91847289,44451
"Tift, Georgia, US",US,Georgia,Tift,31.45743864,-83.5236119,40644
"Toombs, Georgia, US",US,Georgia,Toombs,32.12059861,-82.32957247,26830
"Towns, Georgia, US",US,Georgia,Towns,34.91369188,-83.7410746,12037
"Treutlen, Georgia, US",US,Georgia,Treutlen,32.40422134,-82.56904553,6901
"Troup, Georgia, US",US,Georgia,Troup,33.03349196,-85.02812115,69922
"Turner, Georgia, US",US,Georgia,Turner,31.71612656,-83.62069378,7985
"Twiggs, Georgia, US",US,Georgia,Twiggs,32.67435595,-83.43078662,8120
"Union, Georgia, US",US,Georgia,Union,34.82995757,-83.98967069,24511
"Upson, Georgia, US",US,Georgia,Upson,32.87920671,-84.30024826,26320
"Walker, Georgia, US",US,Georgia,Walker,34.73376362,-85.30165174,69761
"Walton, Georgia, US",US,Georgia,Walton,33.78017694,-83.73552314,94593
"Ware, Georgia, US",US,Georgia,Ware,31.05449097,-82.42224148,35734
"Warren, Georgia, US",US,Georgia,Warren,33.41146451,-82.67795848,5254
"Washington, Georgia, US",US,Georgia,Washington,32.96711864,-82.79357039,20374
"Wayne, Georgia, US",US,Georgia,Wayne,31.5521809,-81.91894878,29927
"Webster, Georgia, US",US,Georgia,Webster,32.04066113,-84.54742852,2607
"Wheeler, Georgia, US",US,Georgia,Wheeler,32.12009104,-82.72574721,7855
"White, Georgia, US",US,Georgia,White,34.64624278,-83.74905525,30798
"Whitfield, Georgia, US",US,Georgia,Whitfield,34.80987459,-84.96093476,104628
"Wilcox, Georgia, US",US,Georgia,Wilcox,31.97496928,-83.43438555,8635
"Wilkes, Georgia, US",US,Georgia,Wilkes,33.78290391,-82.74286107,9777
"Wilkinson, Georgia, US",US,Georgia,Wilkinson,32.80291082,-83.17140684,8954
"Worth, Georgia, US",US,Georgia,Worth,31.55162306,-83.85090513,20247
"Hawaii, Hawaii, US",US,Hawaii,Hawaii,19.60121157,-155.5210167,201513
"Honolulu, Hawaii, US",US,Hawaii,Honolulu,21.45803166,-157.9712182,974563
"Kalawao, Hawaii, US",US,Hawaii,Kalawao,21.17882515,-156.9583592,86
"Kauai, Hawaii, US",US,Hawaii,Kauai,22.03935037,-159.5966786,72293
"Maui, Hawaii, US",US,Hawaii,Maui,20.86399628,-156.5689097,167417
"Ada, Idaho, US",US,Idaho,Ada,43.4526575,-116.2415516,481587
"Adams, Idaho, US",US,Idaho,Adams,44.89333571,-116.4545247,4294
"Bannock, Idaho, US",US,Idaho,Bannock,42.67002716,-112.2233311,87808
"Bear Lake, Idaho, US",US,Idaho,Bear Lake,42.28269683,-111.3289238,6125
"Benewah, Idaho, US",US,Idaho,Benewah,47.21754179,-116.6586851,9298
"Bingham, Idaho, US",US,Idaho,Bingham,43.2167288,-112.3978437,46811
"Blaine, Idaho, US",US,Idaho,Blaine,43.4085812,-113.9752658,23021
"Boise, Idaho, US",US,Idaho,Boise,43.98829931,-115.7309284,7831
"Bonner, Idaho, US",US,Idaho,Bonner,48.29996017,-116.6017932,45739
"Bonneville, Idaho, US",US,Idaho,Bonneville,43.38713372,-111.6161537,119062
"Boundary, Idaho, US",US,Idaho,Boundary,48.76684761,-116.4630179,12245
"Butte, Idaho, US",US,Idaho,Butte,43.72592209,-113.1735463,2597
"Camas, Idaho, US",US,Idaho,Camas,43.46665742,-114.8065892,1106
"Canyon, Idaho, US",US,Idaho,Canyon,43.61970148,-116.7095499,229849
"Caribou, Idaho, US",US,Idaho,Caribou,42.77149116,-111.5597683,7155
"Cassia, Idaho, US",US,Idaho,Cassia,42.28347888,-113.6012409,24030
"Clark, Idaho, US",US,Idaho,Clark,44.28496071,-112.3505704,845
"Clearwater, Idaho, US",US,Idaho,Clearwater,46.67459924,-115.6622393,8756
"Custer, Idaho, US",US,Idaho,Custer,44.24186819,-114.2855494,4315
"Elmore, Idaho, US",US,Idaho,Elmore,43.3507101,-115.4701578,27511
"Franklin, Idaho, US",US,Idaho,Franklin,42.18332217,-111.8149666,13876
"Fremont, Idaho, US",US,Idaho,Fremont,44.22800938,-111.4809943,13099
"Gem, Idaho, US",US,Idaho,Gem,44.06482372,-116.398376,18112
"Gooding, Idaho, US",US,Idaho,Gooding,42.96927962,-114.8108306,15179
"Idaho, Idaho, US",US,Idaho,Idaho,45.84721541,-115.4634436,16667
"Jefferson, Idaho, US",US,Idaho,Jefferson,43.82078483,-112.3131749,29871
"Jerome, Idaho, US",US,Idaho,Jerome,42.68891267,-114.2655033,24412
"Kootenai, Idaho, US",US,Idaho,Kootenai,47.67282258,-116.7020872,165697
"Latah, Idaho, US",US,Idaho,Latah,46.81587887,-116.7113698,40108
"Lemhi, Idaho, US",US,Idaho,Lemhi,44.9438088,-113.9309747,8027
"Lewis, Idaho, US",US,Idaho,Lewis,46.23315327,-116.434146,3838
"Lincoln, Idaho, US",US,Idaho,Lincoln,43.0012336,-114.1358773,5366
"Madison, Idaho, US",US,Idaho,Madison,43.78141028,-111.6538474,39907
"Minidoka, Idaho, US",US,Idaho,Minidoka,42.85518524,-113.6357257,21039
"Nez Perce, Idaho, US",US,Idaho,Nez Perce,46.32638236,-116.7500975,40408
"Oneida, Idaho, US",US,Idaho,Oneida,42.1949428,-112.5407838,4531
"Owyhee, Idaho, US",US,Idaho,Owyhee,42.58016894,-116.1693871,11823
"Payette, Idaho, US",US,Idaho,Payette,44.00545243,-116.7647695,23951
"Power, Idaho, US",US,Idaho,Power,42.69254894,-112.8395742,7681
"Shoshone, Idaho, US",US,Idaho,Shoshone,47.35364087,-115.8916749,12882
"Teton, Idaho, US",US,Idaho,Teton,43.75303583,-111.2056773,12142
"Twin Falls, Idaho, US",US,Idaho,Twin Falls,42.35440512,-114.6685381,86878
"Valley, Idaho, US",US,Idaho,Valley,44.76728382,-115.5676773,11392
"Washington, Idaho, US",US,Idaho,Washington,44.45275475,-116.7847688,10194
"Adams, Illinois, US",US,Illinois,Adams,39.98815591,-91.18786813,65435
"Alexander, Illinois, US",US,Illinois,Alexander,37.18049267,-89.32910838,5761
"Bond, Illinois, US",US,Illinois,Bond,38.88829622,-89.43534887,16426
"Boone, Illinois, US",US,Illinois,Boone,42.32359279,-88.82345779,53544
"Brown, Illinois, US",US,Illinois,Brown,39.96209138,-90.75068024,6578
"Bureau, Illinois, US",US,Illinois,Bureau,41.40385234,-89.5283051,32628
"Calhoun, Illinois, US",US,Illinois,Calhoun,39.16840183,-90.66330078,4739
"Carroll, Illinois, US",US,Illinois,Carroll,42.06823429,-89.93395545,14305
"Cass, Illinois, US",US,Illinois,Cass,39.96991073,-90.24734436,12147
"Champaign, Illinois, US",US,Illinois,Champaign,40.13919438,-88.20046615,209689
"Christian, Illinois, US",US,Illinois,Christian,39.54581621,-89.27780482,32304
"Clark, Illinois, US",US,Illinois,Clark,39.33425789,-87.78705622,15441
"Clay, Illinois, US",US,Illinois,Clay,38.75388572,-88.48914513,13184
"Clinton, Illinois, US",US,Illinois,Clinton,38.60704876,-89.42385254,37562
"Coles, Illinois, US",US,Illinois,Coles,39.51949084,-88.22358557,50621
"Cook, Illinois, US",US,Illinois,Cook,41.84144849,-87.81658794,5150233
"Crawford, Illinois, US",US,Illinois,Crawford,39.0032229,-87.75954624,18667
"Cumberland, Illinois, US",US,Illinois,Cumberland,39.27432424,-88.2401158,10766
"DeKalb, Illinois, US",US,Illinois,DeKalb,41.89373302,-88.76958483,104897
"De Witt, Illinois, US",US,Illinois,De Witt,40.17514519,-88.90959682,15638
"Douglas, Illinois, US",US,Illinois,Douglas,39.76768052,-88.21854195,19465
"DuPage, Illinois, US",US,Illinois,DuPage,41.85116968,-88.08642662,922921
"Edgar, Illinois, US",US,Illinois,Edgar,39.6809186,-87.74759563,17161
"Edwards, Illinois, US",US,Illinois,Edwards,38.41353228,-88.05720863,6395
"Effingham, Illinois, US",US,Illinois,Effingham,39.05935711,-88.58969584,34008
"Fayette, Illinois, US",US,Illinois,Fayette,39.00072038,-89.02452658,21336
"Ford, Illinois, US",US,Illinois,Ford,40.59706922,-88.22350769,12961
"Franklin, Illinois, US",US,Illinois,Franklin,37.99189086,-88.92567818,38469
"Fulton, Illinois, US",US,Illinois,Fulton,40.47289135,-90.20862357,34340
"Gallatin, Illinois, US",US,Illinois,Gallatin,37.76430935,-88.22953869,4828
"Greene, Illinois, US",US,Illinois,Greene,39.35907414,-90.388865,12969
"Grundy, Illinois, US",US,Illinois,Grundy,41.28569601,-88.41905692,51054
"Hamilton, Illinois, US",US,Illinois,Hamilton,38.08163641,-88.53883373,8116
"Hancock, Illinois, US",US,Illinois,Hancock,40.40423981,-91.16313899,17708
"Hardin, Illinois, US",US,Illinois,Hardin,37.51810645,-88.26873022,3821
"Henderson, Illinois, US",US,Illinois,Henderson,40.81908672,-90.92491462,6646
"Henry, Illinois, US",US,Illinois,Henry,41.3533994,-90.13296166,48913
"Iroquois, Illinois, US",US,Illinois,Iroquois,40.74717633,-87.82466784,27114
"Jackson, Illinois, US",US,Illinois,Jackson,37.78595185,-89.38232563,56750
"Jasper, Illinois, US",US,Illinois,Jasper,39.01054275,-88.15437049,9610
"Jefferson, Illinois, US",US,Illinois,Jefferson,38.29980057,-88.9240025,37684
"Jersey, Illinois, US",US,Illinois,Jersey,39.08869046,-90.35393073,21773
"Jo Daviess, Illinois, US",US,Illinois,Jo Daviess,42.36542373,-90.21094405,21235
"Johnson, Illinois, US",US,Illinois,Johnson,37.45939802,-88.88165419,12417
"Kane, Illinois, US",US,Illinois,Kane,41.93842729,-88.42861412,532403
"Kankakee, Illinois, US",US,Illinois,Kankakee,41.13746989,-87.86205334,109862
"Kendall, Illinois, US",US,Illinois,Kendall,41.59081014,-88.42869583,128990
"Knox, Illinois, US",US,Illinois,Knox,40.93148779,-90.2133034,49699
"Lake, Illinois, US",US,Illinois,Lake,42.3224907,-88.00367925,696535
"LaSalle, Illinois, US",US,Illinois,LaSalle,41.3442613,-88.88633881,108669
"Lawrence, Illinois, US",US,Illinois,Lawrence,38.71987914,-87.72884035,15678
"Lee, Illinois, US",US,Illinois,Lee,41.74583951,-89.29977132,34096
"Livingston, Illinois, US",US,Illinois,Livingston,40.89188292,-88.55784752,35648
"Logan, Illinois, US",US,Illinois,Logan,40.12581572,-89.36638784,28618
"McDonough, Illinois, US",US,Illinois,McDonough,40.45674722,-90.67775541,29682
"McHenry, Illinois, US",US,Illinois,McHenry,42.32451172,-88.45248227,307774
"McLean, Illinois, US",US,Illinois,McLean,40.48996987,-88.84621113,171517
"Macon, Illinois, US",US,Illinois,Macon,39.86064913,-88.96342505,104009
"Macoupin, Illinois, US",US,Illinois,Macoupin,39.26119767,-89.92424028,44926
"Madison, Illinois, US",US,Illinois,Madison,38.83042506,-89.90422563,262966
"Marion, Illinois, US",US,Illinois,Marion,38.64963204,-88.91899208,37205
"Marshall, Illinois, US",US,Illinois,Marshall,41.0327901,-89.34510444,11438
"Mason, Illinois, US",US,Illinois,Mason,40.23917274,-89.91824452,13359
"Massac, Illinois, US",US,Illinois,Massac,37.22078441,-88.71036614,13772
"Menard, Illinois, US",US,Illinois,Menard,40.02742725,-89.80246001,12196
"Mercer, Illinois, US",US,Illinois,Mercer,41.20596782,-90.74290052,15437
"Monroe, Illinois, US",US,Illinois,Monroe,38.27594376,-90.17761038,34637
"Montgomery, Illinois, US",US,Illinois,Montgomery,39.23198845,-89.47809254,28414
"Morgan, Illinois, US",US,Illinois,Morgan,39.71654544,-90.20255104,33658
"Moultrie, Illinois, US",US,Illinois,Moultrie,39.64187451,-88.62099969,14501
"Ogle, Illinois, US",US,Illinois,Ogle,42.04165196,-89.32184679,50643
"Peoria, Illinois, US",US,Illinois,Peoria,40.78702156,-89.76078901,179179
"Perry, Illinois, US",US,Illinois,Perry,38.08510853,-89.36856219,20916
"Piatt, Illinois, US",US,Illinois,Piatt,40.01360584,-88.59319339,16344
"Pike, Illinois, US",US,Illinois,Pike,39.62265059,-90.8877017,15561
"Pope, Illinois, US",US,Illinois,Pope,37.41391284,-88.56152109,4177
"Pulaski, Illinois, US",US,Illinois,Pulaski,37.22631423,-89.13085001,5335
"Putnam, Illinois, US",US,Illinois,Putnam,41.2013541,-89.2869272,5739
"Randolph, Illinois, US",US,Illinois,Randolph,38.05095369,-89.82512254,31782
"Richland, Illinois, US",US,Illinois,Richland,38.71240969,-88.08475366,15513
"Rock Island, Illinois, US",US,Illinois,Rock Island,41.46613806,-90.57042164,141879
"St. Clair, Illinois, US",US,Illinois,St. Clair,38.46996033,-89.93063427,259686
"Saline, Illinois, US",US,Illinois,Saline,37.75332999,-88.54119706,23491
"Sangamon, Illinois, US",US,Illinois,Sangamon,39.75836914,-89.65872023,194672
"Schuyler, Illinois, US",US,Illinois,Schuyler,40.1571798,-90.61114163,6768
"Scott, Illinois, US",US,Illinois,Scott,39.6429169,-90.47814431,4951
"Shelby, Illinois, US",US,Illinois,Shelby,39.39133527,-88.80611122,21634
"Stark, Illinois, US",US,Illinois,Stark,41.09309773,-89.79745866,5342
"Stephenson, Illinois, US",US,Illinois,Stephenson,42.35129217,-89.662598,44498
"Tazewell, Illinois, US",US,Illinois,Tazewell,40.50716185,-89.51404662,131803
"Union, Illinois, US",US,Illinois,Union,37.47119609,-89.25548938,16653
"Vermilion, Illinois, US",US,Illinois,Vermilion,40.18417171,-87.73384359,75758
"Wabash, Illinois, US",US,Illinois,Wabash,38.44272901,-87.84922065,11520
"Warren, Illinois, US",US,Illinois,Warren,40.84925021,-90.6147432,16844
"Washington, Illinois, US",US,Illinois,Washington,38.35309213,-89.40982703,13887
"Wayne, Illinois, US",US,Illinois,Wayne,38.42955355,-88.42586459,16215
"White, Illinois, US",US,Illinois,White,38.08706198,-88.17657461,13537
"Whiteside, Illinois, US",US,Illinois,Whiteside,41.75509713,-89.91556058,55175
"Will, Illinois, US",US,Illinois,Will,41.44619267,-87.97862712,690743
"Williamson, Illinois, US",US,Illinois,Williamson,37.73033511,-88.92994027,66597
"Winnebago, Illinois, US",US,Illinois,Winnebago,42.33641854,-89.16085327,282572
"Woodford, Illinois, US",US,Illinois,Woodford,40.78579374,-89.20973757,38459
"Adams, Indiana, US",US,Indiana,Adams,40.7457653,-84.93671406,35777
"Allen, Indiana, US",US,Indiana,Allen,41.09194313,-85.06800636,379299
"Bartholomew, Indiana, US",US,Indiana,Bartholomew,39.20744865,-85.89558181,83779
"Benton, Indiana, US",US,Indiana,Benton,40.60626947,-87.31093999,8748
"Blackford, Indiana, US",US,Indiana,Blackford,40.47388153,-85.32499702,11758
"Boone, Indiana, US",US,Indiana,Boone,40.0509304,-86.46841646,67843
"Brown, Indiana, US",US,Indiana,Brown,39.19605589,-86.22868909,15092
"Carroll, Indiana, US",US,Indiana,Carroll,40.5807832,-86.56198812,20257
"Cass, Indiana, US",US,Indiana,Cass,40.76135835,-86.34830753,37689
"Clark, Indiana, US",US,Indiana,Clark,38.48015445,-85.70510334,118302
"Clay, Indiana, US",US,Indiana,Clay,39.39561833,-87.11723506,26225
"Clinton, Indiana, US",US,Indiana,Clinton,40.30319754,-86.47277257,32399
"Crawford, Indiana, US",US,Indiana,Crawford,38.28814402,-86.44518825,10577
"Daviess, Indiana, US",US,Indiana,Daviess,38.70186039,-87.07185406,33351
"Dearborn, Indiana, US",US,Indiana,Dearborn,39.14647946,-84.97333539,49458
"Decatur, Indiana, US",US,Indiana,Decatur,39.30712658,-85.50087166,26559
"DeKalb, Indiana, US",US,Indiana,DeKalb,41.39804622,-84.99906934,43475
"Delaware, Indiana, US",US,Indiana,Delaware,40.22787247,-85.39732772,114135
"Dubois, Indiana, US",US,Indiana,Dubois,38.36597551,-86.8792417,42736
"Elkhart, Indiana, US",US,Indiana,Elkhart,41.59761169,-85.85875695,206341
"Fayette, Indiana, US",US,Indiana,Fayette,39.63684962,-85.17797541,23102
"Floyd, Indiana, US",US,Indiana,Floyd,38.32117957,-85.90385377,78522
"Fountain, Indiana, US",US,Indiana,Fountain,40.12361933,-87.24217689,16346
"Franklin, Indiana, US",US,Indiana,Franklin,39.4142482,-85.06062647,22758
"Fulton, Indiana, US",US,Indiana,Fulton,41.0469907,-86.26252745,19974
"Gibson, Indiana, US",US,Indiana,Gibson,38.30393723,-87.58054938,33659
"Grant, Indiana, US",US,Indiana,Grant,40.51587228,-85.65468702,65769
"Greene, Indiana, US",US,Indiana,Greene,39.03630547,-86.96223202,31922
"Hamilton, Indiana, US",US,Indiana,Hamilton,40.07306535,-86.05244729,338011
"Hancock, Indiana, US",US,Indiana,Hancock,39.82304555,-85.77566351,78168
"Harrison, Indiana, US",US,Indiana,Harrison,38.19467379,-86.10948271,40515
"Hendricks, Indiana, US",US,Indiana,Hendricks,39.76719009,-86.51037283,170311
"Henry, Indiana, US",US,Indiana,Henry,39.93029017,-85.39625719,47972
"Howard, Indiana, US",US,Indiana,Howard,40.48527731,-86.11351892,82544
"Huntington, Indiana, US",US,Indiana,Huntington,40.82907273,-85.48822092,36520
"Jackson, Indiana, US",US,Indiana,Jackson,38.9091582,-86.03851889,44231
"Jasper, Indiana, US",US,Indiana,Jasper,41.02078733,-87.11553319,33562
"Jay, Indiana, US",US,Indiana,Jay,40.43781032,-85.00576229,20436
"Jefferson, Indiana, US",US,Indiana,Jefferson,38.78576239,-85.43633383,32308
"Jennings, Indiana, US",US,Indiana,Jennings,38.99588883,-85.62710784,27735
"Johnson, Indiana, US",US,Indiana,Johnson,39.48994426,-86.10149107,158167
"Knox, Indiana, US",US,Indiana,Knox,38.68861576,-87.4194665,36594
"Kosciusko, Indiana, US",US,Indiana,Kosciusko,41.24521668,-85.86312322,79456
"LaGrange, Indiana, US",US,Indiana,LaGrange,41.64232188,-85.42674232,39614
"Lake, Indiana, US",US,Indiana,Lake,41.41874274,-87.38277575,485493
"LaPorte, Indiana, US",US,Indiana,LaPorte,41.54366008,-86.74072188,109888
"Lawrence, Indiana, US",US,Indiana,Lawrence,38.84112637,-86.48361629,45370
"Madison, Indiana, US",US,Indiana,Madison,40.16143691,-85.71964711,129569
"Marion, Indiana, US",US,Indiana,Marion,39.78163624,-86.13826325,964582
"Marshall, Indiana, US",US,Indiana,Marshall,41.32467367,-86.26185087,46258
"Martin, Indiana, US",US,Indiana,Martin,38.7099921,-86.80373186,10255
"Miami, Indiana, US",US,Indiana,Miami,40.76940965,-86.04525048,35516
"Monroe, Indiana, US",US,Indiana,Monroe,39.16130004,-86.52414358,148431
"Montgomery, Indiana, US",US,Indiana,Montgomery,40.04034823,-86.89335024,38338
"Morgan, Indiana, US",US,Indiana,Morgan,39.47899078,-86.44573375,70489
"Newton, Indiana, US",US,Indiana,Newton,40.95610449,-87.39635768,13984
"Noble, Indiana, US",US,Indiana,Noble,41.39672484,-85.41966713,47744
"Ohio, Indiana, US",US,Indiana,Ohio,38.955305,-84.96515993,5875
"Orange, Indiana, US",US,Indiana,Orange,38.5411892,-86.49523093,19646
